Team1,Result,Winner,Toss,Bat,Team2,Ground,Start Date,Host_Country,Venue_Team 1,Venue_Team 2,Inning_Team1,Inning_Team2,Team1_Toss,Margin,Team2_Toss,pitch,Winner_Inning,pitchn
New Zealand,won,New Zealand,lost,2nd,West Indies,Napier,6-Jan-00,New Zealand,Home,Away,2nd,first,lost,4 wickets,won,fast/green/bouncy,2ndinningwinner,fast/green/swing/bouncy
West Indies,lost,New Zealand,won,first,New Zealand,Napier,6-Jan-00,New Zealand,Away,Home,first,2nd,won,4 wickets,lost,fast/green/bouncy,2ndinningwinner,fast/green/swing/bouncy
New Zealand,won,New Zealand,won,2nd,West Indies,Wellington,8-Jan-00,New Zealand,Home,Away,2nd,first,won,8 wickets,lost,fast/green/bouncy,2ndinningwinner,fast/green/swing/bouncy
West Indies,lost,New Zealand,lost,first,New Zealand,Wellington,8-Jan-00,New Zealand,Away,Home,first,2nd,lost,8 wickets,won,fast/green/bouncy,2ndinningwinner,fast/green/swing/bouncy
Australia,lost,Pakistan,lost,2nd,Pakistan,Brisbane,9-Jan-00,Australia,Home,Away,2nd,first,lost,45 runs,won,fast/ bouncy,1stinningwinner,fast/ high bounce
India,lost,Pakistan,won,first,Pakistan,Brisbane,10-Jan-00,Australia,Neutral,Neutral,first,2nd,won,2 wickets,lost,fast/ bouncy,2ndinningwinner,fast/ high bounce
New Zealand,won,New Zealand,won,first,West Indies,Christchurch,11-Jan-00,New Zealand,Home,Away,first,2nd,won,20 runs,lost,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
West Indies,lost,New Zealand,lost,2nd,New Zealand,Christchurch,11-Jan-00,New Zealand,Away,Home,2nd,first,lost,20 runs,won,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
Australia,won,Australia,won,first,India,Melbourne,12-Jan-00,Australia,Home,Away,first,2nd,won,28 runs,lost,fast/ bouncy,1stinningwinner,fast/ high bounce
India,lost,Australia,lost,2nd,Australia,Melbourne,12-Jan-00,Australia,Away,Home,2nd,first,lost,28 runs,won,fast/ bouncy,1stinningwinner,fast/ high bounce
