Team1,Team2,Ground,Toss,Bat,Winner
Pakistan, Bangladesh,Karachi,win,first,Pakistan
England, New Zealand,Manchester,win,2nd,England
West Indies, Australia,Bridgetown,win,2nd,West Indies
Netherlands, Kenya,Belfast,loss,first,Netherlands
Ireland, Scotland,Belfast,loss,2nd,Ireland
Canada, Netherlands,Belfast,loss,2nd,Canada
Scotland, Bermuda,Belfast,win,2nd,Scotland
Kenya, Canada,Belfast,loss,2nd,Kenya
Ireland, Bermuda,Belfast,win,first,Ireland
Ireland, Kenya,Belfast,win,2nd,Ireland
Netherlands, Scotland,Belfast,win,2nd,Netherlands
Scotland, Kenya,Belfast,loss,2nd,Scotland
Canada, Bermuda,Belfast,win,2nd,Canada
Sri Lanka, Zimbabwe,King City (NW),win,2nd,Sri Lanka
Pakistan, Canada,King City (NW),win,first,Pakistan
Pakistan, Sri Lanka,King City (NW),win,2nd,Pakistan
Pakistan, Zimbabwe,King City (NW),loss,2nd,Pakistan
Sri Lanka, Canada,King City (NW),win,first,Sri Lanka
Zimbabwe, Canada,King City (NW),loss,first,Zimbabwe
Sri Lanka, Pakistan,King City (NW),win,2nd,Sri Lanka
South Africa, Bangladesh,Johannesburg,loss,first,South Africa
New Zealand, West Indies,Hamilton,win,first,New Zealand
Australia, South Africa,Melbourne,win,first,Australia
Australia, South Africa,Brisbane,loss,2nd,Australia
India, Sri Lanka,Colombo (RPS),loss,2nd,India
Australia, New Zealand,Sydney,win,first,Australia
New Zealand, India,Christchurch,win,2nd,New Zealand
New Zealand, India,Wellington,win,2nd,New Zealand
West Indies, England,Port of Spain,win,2nd,West Indies
South Africa, Australia,Johannesburg,win,2nd,South Africa
South Africa, Australia,Centurion,loss,first,South Africa
Pakistan, Australia,Dubai (DSC),win,2nd,Pakistan
Netherlands, England,Lords,win,2nd,Netherlands
New Zealand, Scotland,The Oval,win,2nd,New Zealand
West Indies, Australia,The Oval,loss,2nd,West Indies
India, Bangladesh,Nottingham,win,first,India
South Africa, Scotland,The Oval,loss,first,South Africa
England, Pakistan,The Oval,loss,first,England
Ireland, Bangladesh,Nottingham,win,2nd,Ireland
Sri Lanka, Australia,Nottingham,win,2nd,Sri Lanka
Pakistan, Netherlands,Lords,win,first,Pakistan
South Africa, New Zealand,Lords,loss,first,South Africa
Sri Lanka, West Indies,Nottingham,loss,first,Sri Lanka
India, Ireland,Nottingham,win,2nd,India
New Zealand, Ireland,Nottingham,loss,first,New Zealand
South Africa, England,Nottingham,loss,2nd,South Africa
Sri Lanka, Pakistan,Lords,win,first,Sri Lanka
West Indies, India,Lords,loss,2nd,West Indies
South Africa, West Indies,The Oval,loss,first,South Africa
Pakistan, New Zealand,The Oval,loss,2nd,Pakistan
Sri Lanka, Ireland,Lords,win,first,Sri Lanka
England, India,Lords,loss,first,England
Pakistan, Ireland,The Oval,win,first,Pakistan
West Indies, England,The Oval,loss,2nd,West Indies
Sri Lanka, New Zealand,Nottingham,win,first,Sri Lanka
South Africa, India,Nottingham,win,first,South Africa
Pakistan, South Africa,Nottingham,win,first,Pakistan
Sri Lanka, West Indies,The Oval,loss,first,Sri Lanka
Pakistan, Sri Lanka,Lords,loss,2nd,Pakistan
West Indies, Bangladesh,Basseterre,loss,2nd,West Indies
Pakistan, Sri Lanka,Colombo (RPS),win,first,Pakistan
New Zealand, Sri Lanka,Colombo (RPS),win,first,New Zealand
New Zealand, Sri Lanka,Colombo (RPS),win,first,New Zealand
Pakistan, New Zealand,Dubai (DSC),loss,first,Pakistan
Pakistan, New Zealand,Dubai (DSC),win,first,Pakistan
England, South Africa,Johannesburg,loss,first,England
South Africa, England,Centurion,win,first,South Africa
Sri Lanka, India,Nagpur,loss,first,Sri Lanka
India, Sri Lanka,Mohali,loss,2nd,India
Ireland, Afghanistan,Colombo (PSS),loss,2nd,Ireland
Kenya, Scotland,Nairobi (Gym),win,2nd,Kenya
Canada, Ireland,Colombo (SSC),loss,first,Canada
New Zealand, Bangladesh,Hamilton,loss,2nd,New Zealand
Afghanistan, Canada,Colombo (SSC),loss,2nd,Afghanistan
Kenya, Scotland,Nairobi (Gym),win,2nd,Kenya
Australia, Pakistan,Melbourne,win,first,Australia
Afghanistan, Ireland,Dubai (DSC),loss,first,Afghanistan
Netherlands, Canada,Dubai (DSC),loss,2nd,Netherlands
Afghanistan, Scotland,Abu Dhabi,loss,first,Afghanistan
Kenya, Canada,Dubai (DSC),win,2nd,Kenya
Netherlands, Kenya,Abu Dhabi,win,2nd,Netherlands
Ireland, Scotland,Dubai (DSC),win,first,Ireland
Netherlands, Afghanistan,Dubai (DSC),win,2nd,Netherlands
Ireland, Netherlands,Dubai (DSC),win,first,Ireland
Afghanistan, Ireland,Dubai (DSC),loss,2nd,Afghanistan
England, Pakistan,Dubai (DSC),loss,2nd,England
Pakistan, England,Dubai (DSC),win,2nd,Pakistan
Australia, West Indies,Hobart,win,first,Australia
Australia, West Indies,Sydney,loss,2nd,Australia
Australia, New Zealand,Wellington,loss,2nd,Australia
Zimbabwe, West Indies,Port of Spain,win,first,Zimbabwe
New Zealand, Sri Lanka,Providence,loss,2nd,New Zealand
West Indies, Ireland,Providence,win,first,West Indies
India, Afghanistan,Gros Islet,win,2nd,India
Pakistan, Bangladesh,Gros Islet,win,first,Pakistan
India, South Africa,Gros Islet,loss,first,India
Australia, Pakistan,Gros Islet,win,first,Australia
Sri Lanka, Zimbabwe,Providence,win,first,Sri Lanka
West Indies, England,Providence,win,2nd,West Indies
New Zealand, Zimbabwe,Providence,win,2nd,New Zealand
Pakistan, New Zealand,The Oval,loss,2nd,Pakistan
Australia, Bangladesh,Bridgetown,win,first,Australia
South Africa, Afghanistan,Bridgetown,loss,first,South Africa
England, Pakistan,Bridgetown,win,2nd,England
South Africa, New Zealand,Bridgetown,win,first,South Africa
Australia, India,Bridgetown,loss,first,Australia
Sri Lanka, West Indies,Bridgetown,win,first,Sri Lanka
New Zealand, Pakistan,Bridgetown,loss,first,New Zealand
England, South Africa,Bridgetown,win,first,England
West Indies, India,Bridgetown,loss,first,West Indies
Australia, Sri Lanka,Bridgetown,win,first,Australia
Pakistan, South Africa,Gros Islet,win,first,Pakistan
England, New Zealand,Gros Islet,loss,2nd,England
Sri Lanka, India,Gros Islet,loss,2nd,Sri Lanka
